[building  the model]
.....................layer0 is built,(conv+pool)
.....................layer1 is built,(conv+pool)
.....................layer2,layer3 are built,(MLP+LR)
[compiling the model]
############################
# Compliled,start training #
############################

epoch 135 ,iteration 13499,training cost 0.777677 %,train error 0.000000 %,validation error 1.140000 %
epoch 136 ,iteration 13599,training cost 0.688941 %,train error 0.200000 %,validation error 1.090000 %
epoch 137 ,iteration 13699,training cost 0.667029 %,train error 0.000000 %,validation error 1.120000 %
epoch 138 ,iteration 13799,training cost 0.726119 %,train error 0.200000 %,validation error 1.060000 %
epoch 139 ,iteration 13899,training cost 0.778510 %,train error 0.200000 %,validation error 1.060000 %
epoch 140 ,iteration 13999,training cost 0.446999 %,train error 0.000000 %,validation error 0.970000 %
epoch 141 ,iteration 14099,training cost 0.391508 %,train error 0.000000 %,validation error 1.040000 %
epoch 142 ,iteration 14199,training cost 0.706195 %,train error 0.000000 %,validation error 1.040000 %
epoch 143 ,iteration 14299,training cost 0.633100 %,train error 0.200000 %,validation error 1.110000 %
epoch 144 ,iteration 14399,training cost 0.946473 %,train error 0.200000 %,validation error 1.040000 %
epoch 145 ,iteration 14499,training cost 0.481015 %,train error 0.000000 %,validation error 0.990000 %
epoch 146 ,iteration 14599,training cost 0.410041 %,train error 0.000000 %,validation error 1.050000 %
epoch 147 ,iteration 14699,training cost 0.387229 %,train error 0.000000 %,validation error 1.130000 %
epoch 148 ,iteration 14799,training cost 0.501942 %,train error 0.000000 %,validation error 1.090000 %
epoch 149 ,iteration 14899,training cost 0.568242 %,train error 0.000000 %,validation error 1.000000 %
epoch 150 ,iteration 14999,training cost 0.811569 %,train error 0.000000 %,validation error 1.070000 %
epoch 151 ,iteration 15099,training cost 0.488267 %,train error 0.000000 %,validation error 0.970000 %
epoch 152 ,iteration 15199,training cost 0.687260 %,train error 0.200000 %,validation error 0.990000 %
epoch 153 ,iteration 15299,training cost 0.624349 %,train error 0.000000 %,validation error 1.050000 %
epoch 154 ,iteration 15399,training cost 0.312619 %,train error 0.000000 %,validation error 0.990000 %
epoch 155 ,iteration 15499,training cost 0.892582 %,train error 0.200000 %,validation error 0.990000 %
epoch 156 ,iteration 15599,training cost 0.569176 %,train error 0.000000 %,validation error 1.030000 %
epoch 157 ,iteration 15699,training cost 0.468119 %,train error 0.000000 %,validation error 1.070000 %
epoch 158 ,iteration 15799,training cost 0.417778 %,train error 0.000000 %,validation error 1.010000 %
epoch 159 ,iteration 15899,training cost 0.475872 %,train error 0.000000 %,validation error 1.040000 %
epoch 160 ,iteration 15999,training cost 0.391777 %,train error 0.000000 %,validation error 1.080000 %
epoch 161 ,iteration 16099,training cost 0.457976 %,train error 0.000000 %,validation error 1.020000 %
epoch 162 ,iteration 16199,training cost 0.424669 %,train error 0.000000 %,validation error 1.020000 %
epoch 163 ,iteration 16299,training cost 0.516788 %,train error 0.200000 %,validation error 1.050000 %
epoch 164 ,iteration 16399,training cost 0.336457 %,train error 0.000000 %,validation error 1.140000 %
epoch 165 ,iteration 16499,training cost 0.561765 %,train error 0.000000 %,validation error 1.040000 %
epoch 166 ,iteration 16599,training cost 0.336655 %,train error 0.000000 %,validation error 1.070000 %
epoch 167 ,iteration 16699,training cost 0.461950 %,train error 0.000000 %,validation error 1.000000 %
epoch 168 ,iteration 16799,training cost 0.489263 %,train error 0.000000 %,validation error 1.160000 %
epoch 169 ,iteration 16899,training cost 0.370440 %,train error 0.000000 %,validation error 1.120000 %
epoch 170 ,iteration 16999,training cost 0.389584 %,train error 0.000000 %,validation error 1.030000 %
epoch 171 ,iteration 17099,training cost 0.448384 %,train error 0.200000 %,validation error 1.080000 %
epoch 172 ,iteration 17199,training cost 0.358614 %,train error 0.000000 %,validation error 1.070000 %
epoch 173 ,iteration 17299,training cost 0.398317 %,train error 0.000000 %,validation error 1.050000 %
epoch 174 ,iteration 17399,training cost 0.539174 %,train error 0.200000 %,validation error 1.040000 %
epoch 175 ,iteration 17499,training cost 0.558842 %,train error 0.000000 %,validation error 1.090000 %
epoch 176 ,iteration 17599,training cost 0.570849 %,train error 0.200000 %,validation error 1.010000 %
epoch 177 ,iteration 17699,training cost 0.384598 %,train error 0.200000 %,validation error 1.080000 %
epoch 178 ,iteration 17799,training cost 0.333243 %,train error 0.000000 %,validation error 1.030000 %
epoch 179 ,iteration 17899,training cost 0.586406 %,train error 0.200000 %,validation error 0.990000 %
epoch 180 ,iteration 17999,training cost 0.572042 %,train error 0.000000 %,validation error 1.050000 %
epoch 181 ,iteration 18099,training cost 0.343510 %,train error 0.000000 %,validation error 1.080000 %
epoch 182 ,iteration 18199,training cost 0.460681 %,train error 0.000000 %,validation error 1.060000 %
epoch 183 ,iteration 18299,training cost 0.612350 %,train error 0.200000 %,validation error 1.000000 %
epoch 184 ,iteration 18399,training cost 0.695651 %,train error 0.200000 %,validation error 0.990000 %
epoch 185 ,iteration 18499,training cost 0.352670 %,train error 0.000000 %,validation error 1.040000 %
epoch 186 ,iteration 18599,training cost 0.414066 %,train error 0.000000 %,validation error 1.030000 %
epoch 187 ,iteration 18699,training cost 0.273341 %,train error 0.000000 %,validation error 1.070000 %
epoch 188 ,iteration 18799,training cost 0.377139 %,train error 0.000000 %,validation error 1.000000 %
epoch 189 ,iteration 18899,training cost 0.374524 %,train error 0.000000 %,validation error 1.120000 %
epoch 190 ,iteration 18999,training cost 0.521010 %,train error 0.000000 %,validation error 0.950000 %
epoch 191 ,iteration 19099,training cost 0.197095 %,train error 0.000000 %,validation error 0.940000 %
epoch 192 ,iteration 19199,training cost 0.317879 %,train error 0.000000 %,validation error 0.970000 %
epoch 193 ,iteration 19299,training cost 0.463773 %,train error 0.000000 %,validation error 1.150000 %
epoch 194 ,iteration 19399,training cost 0.465425 %,train error 0.200000 %,validation error 1.000000 %
epoch 195 ,iteration 19499,training cost 0.547453 %,train error 0.000000 %,validation error 1.010000 %
epoch 196 ,iteration 19599,training cost 0.289167 %,train error 0.000000 %,validation error 1.100000 %
epoch 197 ,iteration 19699,training cost 0.420861 %,train error 0.000000 %,validation error 1.000000 %
epoch 198 ,iteration 19799,training cost 0.545901 %,train error 0.200000 %,validation error 0.990000 %
epoch 199 ,iteration 19899,training cost 0.359214 %,train error 0.000000 %,validation error 1.100000 %
epoch 200 ,iteration 19999,training cost 0.350638 %,train error 0.000000 %,validation error 1.120000 %
epoch 201 ,iteration 20099,training cost 0.477764 %,train error 0.200000 %,validation error 1.090000 %
epoch 202 ,iteration 20199,training cost 0.561847 %,train error 0.200000 %,validation error 1.040000 %
epoch 203 ,iteration 20299,training cost 0.439760 %,train error 0.000000 %,validation error 1.050000 %
epoch 204 ,iteration 20399,training cost 0.290017 %,train error 0.000000 %,validation error 1.020000 %
epoch 205 ,iteration 20499,training cost 0.277416 %,train error 0.000000 %,validation error 1.010000 %
epoch 206 ,iteration 20599,training cost 0.412107 %,train error 0.000000 %,validation error 1.070000 %
epoch 207 ,iteration 20699,training cost 0.419277 %,train error 0.000000 %,validation error 1.030000 %
epoch 208 ,iteration 20799,training cost 0.304652 %,train error 0.000000 %,validation error 1.070000 %
epoch 209 ,iteration 20899,training cost 0.322797 %,train error 0.000000 %,validation error 1.010000 %
epoch 210 ,iteration 20999,training cost 0.484032 %,train error 0.000000 %,validation error 1.000000 %
epoch 211 ,iteration 21099,training cost 0.330414 %,train error 0.000000 %,validation error 1.070000 %
epoch 212 ,iteration 21199,training cost 0.300959 %,train error 0.000000 %,validation error 1.010000 %
epoch 213 ,iteration 21299,training cost 0.242593 %,train error 0.000000 %,validation error 1.050000 %
epoch 214 ,iteration 21399,training cost 0.193946 %,train error 0.000000 %,validation error 1.010000 %
epoch 215 ,iteration 21499,training cost 0.249336 %,train error 0.000000 %,validation error 0.980000 %
epoch 216 ,iteration 21599,training cost 0.435274 %,train error 0.000000 %,validation error 0.990000 %
epoch 217 ,iteration 21699,training cost 0.237960 %,train error 0.000000 %,validation error 1.040000 %
epoch 218 ,iteration 21799,training cost 0.219140 %,train error 0.000000 %,validation error 0.930000 %
epoch 219 ,iteration 21899,training cost 0.221333 %,train error 0.000000 %,validation error 0.980000 %
epoch 220 ,iteration 21999,training cost 0.246331 %,train error 0.000000 %,validation error 1.090000 %
epoch 221 ,iteration 22099,training cost 0.204685 %,train error 0.000000 %,validation error 0.970000 %
epoch 222 ,iteration 22199,training cost 0.292666 %,train error 0.000000 %,validation error 1.050000 %
